Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation,Part Of Speech
보편,universal,"普 (보: universal, general) + 遍 (편: everywhere, pervasive)",Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
규칙,rule,"規 (규: rule, compass) + 則 (칙: rule, law)",Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
데이,date (as in dating),Loanword (part of English 'dating'),Noun,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
팅,-ing (as in dating),Loanword (part of English 'dating'),Noun,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
앱,app,Loanword (from English 'app'),Noun,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
프로필,profile,Loanword (from English 'profile'),Noun,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
자신,oneself,"自 (자: self, oneself) + 身 (신: body, person)",Noun,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
적다,"to write, to note down",Pure Korean,Verb,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
기본,basic,"基 (기: base, foundation) + 本 (본: root, origin)",Noun,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
중,among,"中 (중: middle, center)",Noun,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,"On dating app profiles, writing down one's MBTI is the absolute basic.",
심지어,"moreover, even",Pure Korean,Adverb,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
극,extreme,"極 (극: extreme, pole)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
강,strong (as in extreme degree),"強 (강: strong, powerful)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
외향,extroversion,"外 (외: outside) + 向 (향: direction, tendency)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
집,home,Pure Korean,Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
내향,introversion,"內 (내: inside, inner) + 向 (향: direction, tendency)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
안,not,Pure Korean,Adverb,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
맞다,"to fit, to be compatible",Pure Korean,Verb,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
혹은,or,Pure Korean,Adverb,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
감정,"emotion, feeling","感 (감: feel, sense) + 情 (정: feeling, emotion)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
성향,"tendency, inclination","性 (성: nature, character) + 向 (향: direction, tendency)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","Moreover, there are many people who block types that seem incompatible from the start, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who stay at home,"" or ""Only contact me if you have an emotional 'F' tendency.""",
연락,contact,"連絡 (연락) -> 連 (연: connect, link) + 絡 (락: entwine, connect)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","There are also many people who, right from the start, block types they think won't suit them, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who just stay home,"" or ""Only people with an emotional 'F' tendency, please contact me.""",
주다,to give,Pure Korean,Verb,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","There are also many people who, right from the start, block types they think won't suit them, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who just stay home,"" or ""Only people with an emotional 'F' tendency, please contact me.""",
같다,"to be like, to seem",Pure Korean,Adjective,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","There are also many people who, right from the start, block types they think won't suit them, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who just stay home,"" or ""Only people with an emotional 'F' tendency, please contact me.""",
유형,"type, category","類型 (유형) -> 類 (류/유: kind, type, sort) + 型 (형: model, type, pattern)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","There are also many people who, right from the start, block types they think won't suit them, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who just stay home,"" or ""Only people with an emotional 'F' tendency, please contact me.""",
차단,"blocking, cutoff","遮斷 (차단) -> 遮 (차: cover, block) + 斷 (단: cut off, sever)",Noun,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","There are also many people who, right from the start, block types they think won't suit them, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who just stay home,"" or ""Only people with an emotional 'F' tendency, please contact me.""",
많다,"to be many, to be numerous",Pure Korean,Adjective,"심지어 ""저는 극강의 'E'(외향형)라서 집에만 있는 'I'(내향형)와는 안 맞아요"", 혹은 ""감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","There are also many people who, right from the start, block types they think won't suit them, saying things like, ""I'm an extreme 'E' (extrovert), so I don't get along with 'I's (introverts) who just stay home,"" or ""Only people with an emotional 'F' tendency, please contact me.""",
깊다,to be deep,Pure Korean,Adjective,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
겪다,"to experience, to go through",Pure Korean,Verb,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
판단,"judgment, decision","判斷 (판단) -> 判 (판: judge, decide) + 斷 (단: cut off, sever, judge)",Noun,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
통하다,"to pass through, to communicate",Pure Korean,Verb,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
상대방,"the other party, counterpart","相對方 (상대방) -> 相 (상: mutual, each other) + 對 (대: face, oppose) + 方 (방: direction, side)",Noun,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
궁합,compatibility,"宮合 (궁합) -> 宮 (궁: palace, fate) + 合 (합: match, combine)",Noun,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
미리,"in advance, beforehand",Pure Korean,Adverb,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
계산,calculation,"計算 (계산) -> 計 (계: count, calculate) + 算 (산: calculate, compute)",Noun,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than getting to know people deeply and then judging them, they calculate compatibility with others in advance through four alphabets.",
트렌드,trend,Loanword from English 'trend',Noun,트렌드에 가장 민감한 마케팅 시장도 이 열풍을 놓치지 않았습니다.,"Even the marketing market, most sensitive to trends, did not miss this craze.",
마케팅,marketing,Loanword from English 'marketing',Noun,트렌드에 가장 민감한 마케팅 시장도 이 열풍을 놓치지 않았습니다.,"Even the marketing market, most sensitive to trends, did not miss this craze.",
시장,market,"市場 (시장) -> 市 (시: market, city) + 場 (장: place, venue)",Noun,트렌드에 가장 민감한 마케팅 시장도 이 열풍을 놓치지 않았습니다.,"Even the marketing market, most sensitive to trends, did not miss this craze.",
열풍,"craze, fever","熱風 (열풍) -> 熱 (열: heat, hot) + 風 (풍: wind)",Noun,트렌드에 가장 민감한 마케팅 시장도 이 열풍을 놓치지 않았습니다.,"Even the marketing market, most sensitive to trends, did not miss this craze.",
놓치다,"to miss, to lose",Pure Korean,Verb,트렌드에 가장 민감한 마케팅 시장도 이 열풍을 놓치지 않았습니다.,"Even the marketing market, most sensitive to trends, did not miss this craze.",
서울,Seoul,Pure Korean,Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
핫,"hot (popular, trendy)",Loanword from English 'hot',Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
플레이스,place,Loanword from English 'place',Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
홍대,Hongdae (neighborhood name),"弘大 (홍대) -> 弘 (홍: vast, great) + 大 (대: big, great) (Abbreviation of 弘益大學校 Hongik University)",Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
거리,street,Pure Korean,Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
성수동,Seongsu-dong (neighborhood name),"聖水洞 (성수동) -> 聖 (성: holy, sacred) + 水 (수: water) + 洞 (동: neighborhood, village)",Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
가다,to go,Pure Korean,Verb,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
활용,"utilization, application","活用 (활용) -> 活 (활: live, active) + 用 (용: use, employ)",Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
가게,"store, shop",Pure Korean,Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
찾아보다,"to look for, to find",Pure Korean,Verb,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
수,"way, possibility",Pure Korean,Noun,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, which are hot places in Seoul these days, you can easily find stores utilizing MBTI.",
예,example,"例 (예: example, precedent)",Noun,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
들다,to take,Pure Korean,Verb,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
캡슐,capsule,Pure Korean,Noun,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
운세,fortune,"運 (운: fortune, luck) + 勢 (세: power, tendency)",Noun,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
뽑기,draw,Pure Korean,Noun,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
기계,machine,"機 (기: machine, opportunity) + 械 (계: tool, implement)",Noun,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
따로,separately,Pure Korean,Adverb,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
마련,preparation,Pure Korean,Noun,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, in a capsule fortune-telling draw shop in Hongdae, 16 machines are prepared separately for each MBTI type.",
단돈,just (money),"單 (단: single, mere)",Noun,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
원,won,"圓 (원: round, circle, won)",Noun,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
넣다,to put in,Pure Korean,Verb,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
딱,exactly,Pure Korean,Adverb,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
맞추다,to tailor,Pure Korean,Verb,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
맞춤,customization,Pure Korean,Noun,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
쪽지,slip,Pure Korean,Noun,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
즐거워하다,to enjoy,Pure Korean,Verb,사람들은 단돈 천 원을 넣고 자신의 성격 유형에 딱 맞춘 맞춤형 운세 쪽지를 뽑으며 즐거워합니다.,People enjoy putting in just a thousand won and drawing a customized fortune slip tailored to their personality type.,
편의점,convenience store,"便 (편: convenient, easy) + 宜 (의: appropriate, suitable) + 店 (점: shop, store)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
캔,can,Pure Korean,Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
사다,to buy,Pure Korean,Verb,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
맥주,beer,"麥 (맥: barley) + 酒 (주: alcohol, liquor)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
불티나다,to sell like hotcakes,Pure Korean,Verb,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
팔리다,to be sold,Pure Korean,Verb,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
은행,bank,"銀 (은: silver) + 行 (행: bank, business, go)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
고객,customer,"顧 (고: look back, attend to) + 客 (객: guest, customer)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
소비,consumption,"消 (소: vanish, eliminate) + 費 (비: expense, cost)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
패턴,pattern,Pure Korean,Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
분석,analysis,"分 (분: divide, separate) + 析 (석: analyze, split)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
적금,savings account,"積 (적: accumulate, pile up) + 金 (금: gold, money)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
