Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
전문가,Noun,서로의 존재를 인식할 수 있는 상태라면 바디 더블링 효과가 나타난다고 전문가들은 설명한다.,expert,Experts explain that the 'body doubling' effect appears if one is in a state where they can recognize each other's presence.,전 (specialized) + 문 (field) + 가 (person)
시작,Noun,일을 시작하기 전에 각자의 목표를 공유하는 것도 과제 수행 동기와 집중도를 높이는 데 도움이 된다.,start,Sharing individual goals before starting work also helps increase motivation for task performance and concentration.,시 (begin) + 작 (make)
공유,Noun,일을 시작하기 전에 각자의 목표를 공유하는 것도 과제 수행 동기와 집중도를 높이는 데 도움이 된다.,sharing,Sharing individual goals before starting work also helps increase motivation for task performance and concentration.,공 (common) + 유 (possess)
집중도,Noun,일을 시작하기 전에 각자의 목표를 공유하는 것도 과제 수행 동기와 집중도를 높이는 데 도움이 된다.,concentration level,Sharing individual goals before starting work also helps increase motivation for task performance and concentration.,집 (gather) + 중 (middle) + 도 (degree)
카공족,Noun,‘카공족’,cafe study tribe,The 'cafe study tribe',공 (accomplish) + 부 (master/teacher) + 족 (tribe)
미,Noun,부터 ‘스터디 윗 미’까지…이미 익숙했던 ‘함께 집중하기’ 효과,me,From 'Study With Me'...to the already familiar 'concentrating together' effect.,Pure Korean
한국,Noun,한국에는 어드민 나이트와 닮은 문화가 이미 오래전부터 자리 잡고 있었다. ‘카공족(카페에서 공부하는 사람들)’,Korea,"In Korea, a culture similar to Admin Night has long been established. The 'café study tribe' (people who study in cafes).",한 (Han/Korea) + 국 (country)
닮다,Verb,한국에는 어드민 나이트와 닮은 문화가 이미 오래전부터 자리 잡고 있었다. ‘카공족(카페에서 공부하는 사람들)’,to resemble,"In Korea, a culture similar to Admin Night has long been established. The 'café study tribe' (people who study in cafes).",Pure Korean
카,Noun,한국에는 어드민 나이트와 닮은 문화가 이미 오래전부터 자리 잡고 있었다. ‘카공족(카페에서 공부하는 사람들)’,cafe (abbreviation),"In Korea, a culture similar to Admin Night has long been established. The 'café study tribe' (people who study in cafes).",Pure Korean
공,Noun,한국에는 어드민 나이트와 닮은 문화가 이미 오래전부터 자리 잡고 있었다. ‘카공족(카페에서 공부하는 사람들)’,study (abbreviation),"In Korea, a culture similar to Admin Night has long been established. The 'café study tribe' (people who study in cafes).",공 (accomplish) + 부 (master/teacher)
족,Noun,한국에는 어드민 나이트와 닮은 문화가 이미 오래전부터 자리 잡고 있었다. ‘카공족(카페에서 공부하는 사람들)’,tribe,"In Korea, a culture similar to Admin Night has long been established. The 'café study tribe' (people who study in cafes).",족 (tribe)
신조어,Noun,이라는 신조어가 등장한 것도 벌써 10년이 훌쩍 넘었다.,neologism,It's already been over 10 years since such a neologism appeared.,신 (new) + 조 (make) + 어 (word)
등장,Noun,이라는 신조어가 등장한 것도 벌써 10년이 훌쩍 넘었다.,appearance,It's already been over 10 years since such a neologism appeared.,등 (ascend) + 장 (stage)
훌쩍,Adverb,이라는 신조어가 등장한 것도 벌써 10년이 훌쩍 넘었다.,swiftly,It's already been over 10 years since such a neologism appeared.,Pure Korean
넘다,Verb,이라는 신조어가 등장한 것도 벌써 10년이 훌쩍 넘었다.,to exceed,It's already been over 10 years since such a neologism appeared.,Pure Korean
대형,Noun,"대형 카페에 들어서면 노트북이나 참고서, 책을 펼쳐놓고 낯선 사람들 사이에 앉아 각자의 일에 집중하는 풍경을 쉽게 볼 수 있다.",large-scale,"If you enter a large café, you can easily see the scene of people spreading out their laptops, reference books, or books and concentrating on their own work among strangers.",대 (big) + 형 (type)
들어서다,Verb,"대형 카페에 들어서면 노트북이나 참고서, 책을 펼쳐놓고 낯선 사람들 사이에 앉아 각자의 일에 집중하는 풍경을 쉽게 볼 수 있다.",to enter,"If you enter a large café, you can easily see the scene of people spreading out their laptops, reference books, or books and concentrating on their own work among strangers.",Pure Korean
노트북,Noun,"대형 카페에 들어서면 노트북이나 참고서, 책을 펼쳐놓고 낯선 사람들 사이에 앉아 각자의 일에 집중하는 풍경을 쉽게 볼 수 있다.",laptop,"If you enter a large café, you can easily see the scene of people spreading out their laptops, reference books, or books and concentrating on their own work among strangers.",Pure Korean
참고서,Noun,"대형 카페에 들어서면 노트북이나 참고서, 책을 펼쳐놓고 낯선 사람들 사이에 앉아 각자의 일에 집중하는 풍경을 쉽게 볼 수 있다.",reference book,"If you enter a large café, you can easily see the scene of people spreading out their laptops, reference books, or books and concentrating on their own work among strangers.",참 (refer) + 고 (consider) + 서 (book)
펼치다,Verb,"대형 카페에 들어서면 노트북이나 참고서, 책을 펼쳐놓고 낯선 사람들 사이에 앉아 각자의 일에 집중하는 풍경을 쉽게 볼 수 있다.",to spread out,"If you enter a large café, you can easily see the scene of people spreading out their laptops, reference books, or books and concentrating on their own work among strangers.",Pure Korean
낯설다,Adjective,"대형 카페에 들어서면 노트북이나 참고서, 책을 펼쳐놓고 낯선 사람들 사이에 앉아 각자의 일에 집중하는 풍경을 쉽게 볼 수 있다.",to be unfamiliar,"If you enter a large café, you can easily see the scene of people spreading out their laptops, reference books, or books and concentrating on their own work among strangers.",Pure Korean
풍경,Noun,"대형 카페에 들어서면 노트북이나 참고서, 책을 펼쳐놓고 낯선 사람들 사이에 앉아 각자의 일에 집중하는 풍경을 쉽게 볼 수 있다.",scene,"If you enter a large café, you can easily see the scene of people spreading out their laptops, reference books, or books and concentrating on their own work among strangers.",풍 (wind) + 경 (scene)
업종,Noun,스터디카페라는 업종이 전국적으로 수천 개 이상 생겨난 것도 같은 맥락이다.,type of business,It's in the same context that thousands of study cafes as a type of business have sprung up nationwide.,업 (business) + 종 (type)
전국,Noun,스터디카페라는 업종이 전국적으로 수천 개 이상 생겨난 것도 같은 맥락이다.,nationwide,It's in the same context that thousands of study cafes as a type of business have sprung up nationwide.,전 (whole) + 국 (country)
맥락,Noun,스터디카페라는 업종이 전국적으로 수천 개 이상 생겨난 것도 같은 맥락이다.,context,It's in the same context that thousands of study cafes as a type of business have sprung up nationwide.,맥 (vein) + 락 (connect)
일찍이,Adverb,온라인에서도 일찍이 비슷한 형태의 문화가 자리 잡았다. ‘스터디 윗 미(Study With Me)’,early on,"Even online, a similar form of culture had already taken root early on. 'Study With Me'.",Pure Korean
콘텐츠,Noun,콘텐츠가 대표적이다.,content,Content is a representative example.,Pure Korean
대표,Noun,콘텐츠가 대표적이다.,representative,Content is a representative example.,대 (represent) + 표 (express)
크리에이터,Noun,크리에이터들이 아무 말 없이 공부하는 모습만 담아 올리는 이 영상은 수백만 조회수를 기록하며 하나의 콘텐츠 장르로 자리 잡았다.,creator,"This video, uploaded by creators showing only themselves studying silently, has recorded millions of views and established itself as a content genre.",Loanword
담다,Verb,크리에이터들이 아무 말 없이 공부하는 모습만 담아 올리는 이 영상은 수백만 조회수를 기록하며 하나의 콘텐츠 장르로 자리 잡았다.,include,"This video, uploaded by creators showing only themselves studying silently, has recorded millions of views and established itself as a content genre.",Pure Korean
영상,Noun,크리에이터들이 아무 말 없이 공부하는 모습만 담아 올리는 이 영상은 수백만 조회수를 기록하며 하나의 콘텐츠 장르로 자리 잡았다.,video,"This video, uploaded by creators showing only themselves studying silently, has recorded millions of views and established itself as a content genre.",영 (image) + 상 (form)
조회,Noun,크리에이터들이 아무 말 없이 공부하는 모습만 담아 올리는 이 영상은 수백만 조회수를 기록하며 하나의 콘텐츠 장르로 자리 잡았다.,view,"This video, uploaded by creators showing only themselves studying silently, has recorded millions of views and established itself as a content genre.",조 (look up) + 회 (gather)
장르,Noun,크리에이터들이 아무 말 없이 공부하는 모습만 담아 올리는 이 영상은 수백만 조회수를 기록하며 하나의 콘텐츠 장르로 자리 잡았다.,genre,"This video, uploaded by creators showing only themselves studying silently, has recorded millions of views and established itself as a content genre.",Loanword
틀다,Verb,이를 틀어놓은 채 함께 공부하는 사람들도 많다.,play,Many people also study together while leaving it playing.,Pure Korean
화면,Noun,화면 너머 누군가가 집중하는 모습을 보는 것만으로도 연결감과 적당한 긴장감을 동시에 얻을 수 있기 때문이다.,screen,"This is because just by watching someone concentrate beyond the screen, one can simultaneously gain a sense of connection and appropriate tension.",화 (picture) + 면 (surface)
너머,Noun,화면 너머 누군가가 집중하는 모습을 보는 것만으로도 연결감과 적당한 긴장감을 동시에 얻을 수 있기 때문이다.,beyond,"This is because just by watching someone concentrate beyond the screen, one can simultaneously gain a sense of connection and appropriate tension.",Pure Korean
긴장감,Noun,화면 너머 누군가가 집중하는 모습을 보는 것만으로도 연결감과 적당한 긴장감을 동시에 얻을 수 있기 때문이다.,tension,"This is because just by watching someone concentrate beyond the screen, one can simultaneously gain a sense of connection and appropriate tension.",긴 (tight) + 장 (stretch) + 감 (feeling)
동시,Noun,화면 너머 누군가가 집중하는 모습을 보는 것만으로도 연결감과 적당한 긴장감을 동시에 얻을 수 있기 때문이다.,simultaneous,"This is because just by watching someone concentrate beyond the screen, one can simultaneously gain a sense of connection and appropriate tension.",동 (same) + 시 (time)
때문,Noun,화면 너머 누군가가 집중하는 모습을 보는 것만으로도 연결감과 적당한 긴장감을 동시에 얻을 수 있기 때문이다.,reason,"This is because just by watching someone concentrate beyond the screen, one can simultaneously gain a sense of connection and appropriate tension.",Pure Korean
재미없다,Adjective,"스터디 윗 미 콘텐츠에는 “이 영상 없으면 공부가 재미없다”, “이거보면서 정신줄 부여잡고 공부한다”, “같이 공부하는 느낌이라 집중이 확실히 잘 된다” 등의 댓글이 이어진다.",boring,"Comments such as ""Studying is boring without this video,"" ""I study by keeping myself focused while watching this,"" and ""I definitely concentrate better because it feels like studying together"" continue to be posted on Study With Me content.",Pure Korean
확실히,Adverb,"스터디 윗 미 콘텐츠에는 “이 영상 없으면 공부가 재미없다”, “이거보면서 정신줄 부여잡고 공부한다”, “같이 공부하는 느낌이라 집중이 확실히 잘 된다” 등의 댓글이 이어진다.",definitely,"Comments such as ""Studying is boring without this video,"" ""I study by keeping myself focused while watching this,"" and ""I definitely concentrate better because it feels like studying together"" continue to be posted on Study With Me content.",확 (firm) + 실 (real)
댓글,Noun,"스터디 윗 미 콘텐츠에는 “이 영상 없으면 공부가 재미없다”, “이거보면서 정신줄 부여잡고 공부한다”, “같이 공부하는 느낌이라 집중이 확실히 잘 된다” 등의 댓글이 이어진다.",comment,"Comments such as ""Studying is boring without this video,"" ""I study by keeping myself focused while watching this,"" and ""I definitely concentrate better because it feels like studying together"" continue to be posted on Study With Me content.",Pure Korean
이어지다,Verb,"스터디 윗 미 콘텐츠에는 “이 영상 없으면 공부가 재미없다”, “이거보면서 정신줄 부여잡고 공부한다”, “같이 공부하는 느낌이라 집중이 확실히 잘 된다” 등의 댓글이 이어진다.",continue,"Comments such as ""Studying is boring without this video,"" ""I study by keeping myself focused while watching this,"" and ""I definitely concentrate better because it feels like studying together"" continue to be posted on Study With Me content.",Pure Korean
추구,Noun,효율과 연결을 동시에 추구하는 MZ세대,pursuit,MZ generation pursuing efficiency and connection simultaneously,추 (chase) + 구 (seek)
때,Noun,"카공족과 스터디 윗 미, 그리고 어드민 나이트는 모두 혼자보다 함께일 때 더 잘 집중할 수 있다는 감각에서 출발한다.",when,"Cafe-goers, Study With Me, and Admin Night all originate from the sense that one can concentrate better when together rather than alone.",Pure Korean
출발,Noun,"카공족과 스터디 윗 미, 그리고 어드민 나이트는 모두 혼자보다 함께일 때 더 잘 집중할 수 있다는 감각에서 출발한다.",origin,"Cafe-goers, Study With Me, and Admin Night all originate from the sense that one can concentrate better when together rather than alone.",출 (go out) + 발 (depart)
실속,Noun,동시에 그 시간이 실속 있는 연결이어야 한다는 인식이 깔려 있다.,substance,"At the same time, there is an underlying awareness that that time should be a substantial connection.",Pure Korean
깔리다,Verb,동시에 그 시간이 실속 있는 연결이어야 한다는 인식이 깔려 있다.,underlie,"At the same time, there is an underlying awareness that that time should be a substantial connection.",Pure Korean
선호,Noun,"MZ세대는 이처럼 의미 있게 시간을 쓰는 방식을 선호하고, 소모적인 만남보다 효율성 높은 인간관계를 추구하는 경향이 강하다.",preference,The MZ generation prefers meaningful ways of spending time like this and has a strong tendency to pursue highly efficient human relationships rather than consumptive encounters.,선 (choose) + 호 (like)
만남,Noun,"MZ세대는 이처럼 의미 있게 시간을 쓰는 방식을 선호하고, 소모적인 만남보다 효율성 높은 인간관계를 추구하는 경향이 강하다.",encounter,The MZ generation prefers meaningful ways of spending time like this and has a strong tendency to pursue highly efficient human relationships rather than consumptive encounters.,Pure Korean
경향,Noun,"MZ세대는 이처럼 의미 있게 시간을 쓰는 방식을 선호하고, 소모적인 만남보다 효율성 높은 인간관계를 추구하는 경향이 강하다.",tendency,The MZ generation prefers meaningful ways of spending time like this and has a strong tendency to pursue highly efficient human relationships rather than consumptive encounters.,경 (lean) + 향 (direction)
휴식,Noun,어드민 나이트의 유행을 두고 퇴근 후의 휴식 시간마저 생산성으로 채워야 하는 현실을 반영한다는 비판적인 시각도 있다.,rest,"Regarding the trend of Admin Night, there are also critical views that it reflects a reality where even rest time after work must be filled with productivity.",휴 (rest) + 식 (rest)
채우다,Verb,어드민 나이트의 유행을 두고 퇴근 후의 휴식 시간마저 생산성으로 채워야 하는 현실을 반영한다는 비판적인 시각도 있다.,fill,"Regarding the trend of Admin Night, there are also critical views that it reflects a reality where even rest time after work must be filled with productivity.",Pure Korean
반영,Noun,어드민 나이트의 유행을 두고 퇴근 후의 휴식 시간마저 생산성으로 채워야 하는 현실을 반영한다는 비판적인 시각도 있다.,reflection,"Regarding the trend of Admin Night, there are also critical views that it reflects a reality where even rest time after work must be filled with productivity.",반 (reverse) + 영 (project)
비판,Noun,어드민 나이트의 유행을 두고 퇴근 후의 휴식 시간마저 생산성으로 채워야 하는 현실을 반영한다는 비판적인 시각도 있다.,criticism,"Regarding the trend of Admin Night, there are also critical views that it reflects a reality where even rest time after work must be filled with productivity.",비 (criticize) + 판 (judge)
시각,Noun,어드민 나이트의 유행을 두고 퇴근 후의 휴식 시간마저 생산성으로 채워야 하는 현실을 반영한다는 비판적인 시각도 있다.,perspective,"Regarding the trend of Admin Night, there are also critical views that it reflects a reality where even rest time after work must be filled with productivity.",시 (look) + 각 (angle)
어차피,Adverb,하지만 어차피 해야 할 일이라면 혼자 끙끙대기보다 함께 가볍게 해치우는 편이 낫지 않을까.,anyway,"But if it's something that needs to be done anyway, wouldn't it be better to tackle it lightly together rather than struggling alone?",어 (how) + 차 (difference) + 피 (that)
끙끙대다,Verb,하지만 어차피 해야 할 일이라면 혼자 끙끙대기보다 함께 가볍게 해치우는 편이 낫지 않을까.,struggle,"But if it's something that needs to be done anyway, wouldn't it be better to tackle it lightly together rather than struggling alone?",Pure Korean
반복,Noun,"어드민 나이트는 반복되는 일상 속에서 미뤄둔 ‘어른의 일들’을 함께 정리하는, 실용적인 연대의 방식이다.",repetition,"Admin Night is a practical way of solidarity, organizing the 'adult tasks' that have been put off within the repeated daily routine.",반 (돌이킬 반) + 복 (다시 복)
일상,Noun,"어드민 나이트는 반복되는 일상 속에서 미뤄둔 ‘어른의 일들’을 함께 정리하는, 실용적인 연대의 방식이다.",daily routine,"Admin Night is a practical way of solidarity, organizing the 'adult tasks' that have been put off within the repeated daily routine.",일 (날 일) + 상 (항상 상)
어른,Noun,"어드민 나이트는 반복되는 일상 속에서 미뤄둔 ‘어른의 일들’을 함께 정리하는, 실용적인 연대의 방식이다.",adult,"Admin Night is a practical way of solidarity, organizing the 'adult tasks' that have been put off within the repeated daily routine.",Pure Korean
실용,Noun,"어드민 나이트는 반복되는 일상 속에서 미뤄둔 ‘어른의 일들’을 함께 정리하는, 실용적인 연대의 방식이다.",practicality,"Admin Night is a practical way of solidarity, organizing the 'adult tasks' that have been put off within the repeated daily routine.",실 (열매 실) + 용 (쓸 용)
연대,Noun,"어드민 나이트는 반복되는 일상 속에서 미뤄둔 ‘어른의 일들’을 함께 정리하는, 실용적인 연대의 방식이다.",solidarity,"Admin Night is a practical way of solidarity, organizing the 'adult tasks' that have been put off within the repeated daily routine.",연 (잇닿을 연) + 대 (띠 대)
실천,Noun,"어드민 나이트 실천 가이드
혼자서는 자꾸 미루게 되는 잡무, 어드민 나이트로 해치우는 법을 소개한다.",practice,"Admin Night Practice Guide
We introduce how to tackle miscellaneous tasks that you keep putting off when you're alone, using Admin Night.",실 (열매 실) + 천 (밟을 천)
가이드,Noun,"어드민 나이트 실천 가이드
혼자서는 자꾸 미루게 되는 잡무, 어드민 나이트로 해치우는 법을 소개한다.",guide,"Admin Night Practice Guide
We introduce how to tackle miscellaneous tasks that you keep putting off when you're alone, using Admin Night.",Pure Korean
자꾸,Adverb,"어드민 나이트 실천 가이드
혼자서는 자꾸 미루게 되는 잡무, 어드민 나이트로 해치우는 법을 소개한다.",repeatedly,"Admin Night Practice Guide
We introduce how to tackle miscellaneous tasks that you keep putting off when you're alone, using Admin Night.",Pure Korean
소개,Noun,"어드민 나이트 실천 가이드
혼자서는 자꾸 미루게 되는 잡무, 어드민 나이트로 해치우는 법을 소개한다.",introduction,"Admin Night Practice Guide
We introduce how to tackle miscellaneous tasks that you keep putting off when you're alone, using Admin Night.",소 (이을 소) + 개 (낄 개)
고르다,Verb,STEP 1. 함께할 사람을 고른다.,choose,STEP 1. Choose someone to work with.,Pure Korean
선택,Noun,바디 더블링 효과를 높이려면 상대 선택이 중요하다.,selection,"To maximize the body doubling effect, choosing your partner is important.",선 (가릴 선) + 택 (가릴 택)
방해,Noun,집중을 방해하지 않으면서도 생산성에 긍정적인 영향을 줄 수 있는 사람이 좋다.,disturbance,It's good to have someone who doesn't interrupt your concentration but can positively influence your productivity.,방 (방해할 방) + 해 (해할 해)
긍정,Noun,집중을 방해하지 않으면서도 생산성에 긍정적인 영향을 줄 수 있는 사람이 좋다.,positive,It's good to have someone who doesn't interrupt your concentration but can positively influence your productivity.,긍 (긍정할 긍) + 정 (정할 정)
이야깃거리,Noun,만나면 이야깃거리가 계속 생기는 관계라면 원 없이 대화할 수 있는 날 약속을 따로 잡는 편이 낫다.,topic of conversation,"If you're in a relationship where you constantly find new things to talk about when you meet, it's better to make a separate appointment for a day when you can talk as much as you want.",Pure Korean
따로,Adverb,만나면 이야깃거리가 계속 생기는 관계라면 원 없이 대화할 수 있는 날 약속을 따로 잡는 편이 낫다.,separately,"If you're in a relationship where you constantly find new things to talk about when you meet, it's better to make a separate appointment for a day when you can talk as much as you want.",Pure Korean
줌,Noun,직접 만나기 어렵다면 줌(Zoom)이나 구글 미트 등 화상 회의로 진행하는 것도 가능하다.,Zoom,"If it's difficult to meet in person, it's also possible to conduct it as a video conference using Zoom or Google Meet.",Pure Korean
구글,Noun,직접 만나기 어렵다면 줌(Zoom)이나 구글 미트 등 화상 회의로 진행하는 것도 가능하다.,Google,"If it's difficult to meet in person, it's also possible to conduct it as a video conference using Zoom or Google Meet.",Pure Korean
미트,Noun,직접 만나기 어렵다면 줌(Zoom)이나 구글 미트 등 화상 회의로 진행하는 것도 가능하다.,Meet,"If it's difficult to meet in person, it's also possible to conduct it as a video conference using Zoom or Google Meet.",Pure Korean
화상,Noun,직접 만나기 어렵다면 줌(Zoom)이나 구글 미트 등 화상 회의로 진행하는 것도 가능하다.,video,"If it's difficult to meet in person, it's also possible to conduct it as a video conference using Zoom or Google Meet.",화 (그림 화) + 상 (형상 상)
진행,Noun,직접 만나기 어렵다면 줌(Zoom)이나 구글 미트 등 화상 회의로 진행하는 것도 가능하다.,conduction,"If it's difficult to meet in person, it's also possible to conduct it as a video conference using Zoom or Google Meet.",진 (나아갈 진) + 행 (다닐 행)
가능,Noun,직접 만나기 어렵다면 줌(Zoom)이나 구글 미트 등 화상 회의로 진행하는 것도 가능하다.,possibility,"If it's difficult to meet in person, it's also possible to conduct it as a video conference using Zoom or Google Meet.",가 (옳을 가) + 능 (능할 능)
켜다,Verb,"카메라를 켜두고 각자 일하는 온라인 플랫폼이나, 유튜브에서 실시간으로 진행되는 스터디 윗 미 콘텐츠를 함께 틀어두는 것도 방법이다.",turn on,"Another method is to turn on your camera and jointly play 'study with me' content that is streamed live on an online platform where each person works, or on YouTube.",Pure Korean
플랫폼,Noun,"카메라를 켜두고 각자 일하는 온라인 플랫폼이나, 유튜브에서 실시간으로 진행되는 스터디 윗 미 콘텐츠를 함께 틀어두는 것도 방법이다.",platform,"Another method is to turn on your camera and jointly play 'study with me' content that is streamed live on an online platform where each person works, or on YouTube.",Pure Korean
유튜브,Noun,"카메라를 켜두고 각자 일하는 온라인 플랫폼이나, 유튜브에서 실시간으로 진행되는 스터디 윗 미 콘텐츠를 함께 틀어두는 것도 방법이다.",YouTube,"Another method is to turn on your camera and jointly play 'study with me' content that is streamed live on an online platform where each person works, or on YouTube.",Pure Korean
실시간,Noun,"카메라를 켜두고 각자 일하는 온라인 플랫폼이나, 유튜브에서 실시간으로 진행되는 스터디 윗 미 콘텐츠를 함께 틀어두는 것도 방법이다.",real-time,"Another method is to turn on your camera and jointly play 'study with me' content that is streamed live on an online platform where each person works, or on YouTube.",실 (열매 실) + 시 (때 시) + 간 (사이 간)
목록,Noun,STEP 3. 할 일 목록을 미리 만든다.,list,STEP 3. Make a to-do list in advance.,목 (눈 목) + 록 (기록할 록)
미리,Adverb,STEP 3. 할 일 목록을 미리 만든다.,in advance,STEP 3. Make a to-do list in advance.,Pure Korean
업무,Noun,모임 전에 각자 처리할 업무를 정리해 온다. ‘뭔가 하겠지’라는 마음으로 모이면 시간만 흐르기 쉽다.,tasks,"Before the meeting, each person should organize the tasks they need to handle. If you gather with the mindset of 'something will get done,' time is likely to just pass by.",업 (업 업) + 무 (힘쓸 무)
구체,Noun,작고 구체적인 과제일수록 좋다.,specific,"The smaller and more specific the task, the better.",구 (갖출 구) + 체 (몸 체)
짧다,Adjective,시작 전에 할 일 목록과 오늘의 목표를 짧게 공유하는 것도 효과적이다.,briefly,It is also effective to briefly share your to-do list and today's goals before starting.,Pure Korean
꺼내다,Verb,"말로 꺼내는 것만으로도 실행에 대한 책임감이 생기고, 서로의 목표를 인식하는 것 자체가 집중력을 높이는 데 도움이 된다.",to speak out,"Just by speaking it out loud, a sense of responsibility for the execution arises, and the very act of recognizing each other's goals helps to increase concentration.",Pure Korean
실행,Noun,"말로 꺼내는 것만으로도 실행에 대한 책임감이 생기고, 서로의 목표를 인식하는 것 자체가 집중력을 높이는 데 도움이 된다.",execution,"Just by speaking it out loud, a sense of responsibility for the execution arises, and the very act of recognizing each other's goals helps to increase concentration.",실 (實: 열매 실) + 행 (行: 다닐 행)
세션,Noun,STEP 4. 집중 세션을 설계한다.,session,STEP 4. Design focus sessions.,Pure Korean
설계,Noun,STEP 4. 집중 세션을 설계한다.,design,STEP 4. Design focus sessions.,설 (設: 베풀 설) + 계 (計: 셈할 계)
내내,Adverb,함께 모였다고 해서 몇 시간 내내 집중력이 유지되지는 않는다.,throughout,"Just because people gather together, concentration won't be maintained throughout several hours.",Pure Korean
유지,Noun,함께 모였다고 해서 몇 시간 내내 집중력이 유지되지는 않는다.,maintenance,"Just because people gather together, concentration won't be maintained throughout several hours.",유 (維: 벼리 유) + 지 (持: 가질 지)
몰입도,Noun,일하는 시간과 쉬는 시간을 미리 정해두면 몰입도를 높일 수 있다. '포모도로 기법',level of immersion,"By pre-determining work and break times, you can increase your level of immersion. 'Pomodoro Technique'",몰 (沒: 잠길 몰) + 입 (入: 들 입) + 도 (度: 법도 도)
포모도로,Noun,일하는 시간과 쉬는 시간을 미리 정해두면 몰입도를 높일 수 있다. '포모도로 기법',Pomodoro,"By pre-determining work and break times, you can increase your level of immersion. 'Pomodoro Technique'",Pure Korean
기법,Noun,일하는 시간과 쉬는 시간을 미리 정해두면 몰입도를 높일 수 있다. '포모도로 기법',technique,"By pre-determining work and break times, you can increase your level of immersion. 'Pomodoro Technique'",기 (技: 재주 기) + 법 (法: 법 법)
호흡,Noun,긴 호흡이 필요한 과제라면 45~60분 집중하고 10분 쉬어가는 것도 좋다.,sustained effort,"If it's a task that requires a sustained effort, focusing for 45-60 minutes and then taking a 10-minute break is also a good idea.",호 (呼: 부를 호) + 흡 (吸: 마실 흡)
플레이,Noun,STEP 5. 플레이리스트를 준비한다.,play,STEP 5. Prepare a playlist.,Pure Korean
리스트,Noun,STEP 5. 플레이리스트를 준비한다.,list,STEP 5. Prepare a playlist.,Pure Korean
준비,Noun,STEP 5. 플레이리스트를 준비한다.,preparation,STEP 5. Prepare a playlist.,준 (準: 준할 준) + 비 (備: 갖출 비)
완전히,Adverb,완전히 조용한 공간이 어색하다면 잔잔한 배경 음악을 틀어두는 것도 방법이다.,completely,"If a completely quiet space feels awkward, playing calm background music is also a method.",완 (完: 완전할 완) + 전 (全: 온전할 전)
로,Noun,로파이(Lo-fi)나 앰비언트 음악처럼 집중을 방해하지 않는 음악이 분위기를 부드럽게 만든다.,Lo,"Music that doesn't disturb concentration, like Lo-fi or ambient music, makes the atmosphere gentle.",Pure Korean
파이,Noun,로파이(Lo-fi)나 앰비언트 음악처럼 집중을 방해하지 않는 음악이 분위기를 부드럽게 만든다.,fi,"Music that doesn't disturb concentration, like Lo-fi or ambient music, makes the atmosphere gentle.",Pure Korean
앰비언트,Noun,로파이(Lo-fi)나 앰비언트 음악처럼 집중을 방해하지 않는 음악이 분위기를 부드럽게 만든다.,ambient,"Music that doesn't disturb concentration, like Lo-fi or ambient music, makes the atmosphere gentle.",Pure Korean
테이블,Noun,"함께 하는 테이블 위 간단한 간식과 음료까지 더하면, 밀린 잡무를 처리하는 밤도 생각보다 즐거운 시간이 될 수 있다.",table,"If you add simple snacks and drinks on the table where you're together, even a night spent catching up on chores can be more enjoyable than you think.",Pure Korean
간식,Noun,"함께 하는 테이블 위 간단한 간식과 음료까지 더하면, 밀린 잡무를 처리하는 밤도 생각보다 즐거운 시간이 될 수 있다.",snack,"If you add simple snacks and drinks on the table where you're together, even a night spent catching up on chores can be more enjoyable than you think.",간 (間: 사이 간) + 식 (食: 먹을 식)
음료,Noun,"함께 하는 테이블 위 간단한 간식과 음료까지 더하면, 밀린 잡무를 처리하는 밤도 생각보다 즐거운 시간이 될 수 있다.",drink,"If you add simple snacks and drinks on the table where you're together, even a night spent catching up on chores can be more enjoyable than you think.",음 (飮: 마실 음) + 료 (料: 헤아릴 료)
