Korean,Part of Speech,Example Sentence,English,Sentence Translation
강물,Noun,강물은 너무 차가워서 건너기가 어려웠습니다.,river water,The river water was too cold to cross.
건너다,Verb,강물은 너무 차가워서 건너기가 어려웠습니다.,cross,The river water was too cold to cross.
그때,Noun,"그때, 한 펭귄이 좋은 아이디어를 냈습니다.",then,"Then, a penguin came up with a good idea."
좋다,Adjective,"그때, 한 펭귄이 좋은 아이디어를 냈습니다.",good,"Then, a penguin came up with a good idea."
아이디어,Noun,"그때, 한 펭귄이 좋은 아이디어를 냈습니다.",idea,"Then, a penguin came up with a good idea."
우리,Noun,'우리가 함께 뭉쳐서 뗏목을 만들자!',we,'Let's team up and make a raft!'
뭉치다,Verb,'우리가 함께 뭉쳐서 뗏목을 만들자!',team up,'Let's team up and make a raft!'
뗏목,Noun,'우리가 함께 뭉쳐서 뗏목을 만들자!',raft,'Let's team up and make a raft!'
만들다,Verb,'우리가 함께 뭉쳐서 뗏목을 만들자!',make,'Let's team up and make a raft!'
모두,Adverb,펭귄들은 모두 힘을 합쳐서 뗏목을 만들었습니다.,all,All the penguins combined their strength to make a raft.
태우다,Verb,"뗏목 위에 아기 펭귄들을 태우고, 어른 펭귄들이 뗏목을 끌었습니다.",put on board,"They put the baby penguins on the raft, and the adult penguins pulled the raft."
끌다,Verb,"뗏목 위에 아기 펭귄들을 태우고, 어른 펭귄들이 뗏목을 끌었습니다.",pull,"They put the baby penguins on the raft, and the adult penguins pulled the raft."
과정,Noun,펭귄들은 힘든 과정을 거쳐서 강을 건넜습니다.,process,The penguins crossed the river through a difficult process.
거치다,Verb,펭귄들은 힘든 과정을 거쳐서 강을 건넜습니다.,go through,"The penguins crossed the river, going through a difficult process."
돌아오다,Verb,드디어 펭귄들은 집으로 돌아왔습니다.,returned,"Finally, the penguins returned home."
가득,Adverb,펭귄 마을은 펭귄들로 가득 찼습니다.,full,The penguin village was full of penguins.
차다,Verb,펭귄 마을은 펭귄들로 가득 찼습니다.,was filled,The penguin village was full of penguins.
안다,Verb,엄마 펭귄은 뽀로로를 안아 주었습니다.,hugged,Mom penguin hugged Pororo.
무사히,Adverb,무사히 돌아와서 정말 기쁘다!',safely,I'm so glad you returned safely!'
일,Noun,뽀로로는 엄마 펭귄에게 그동안 있었던 일들을 이야기해 주었습니다.,things,Pororo told Mom penguin about the things that had happened.
떠나다,Verb,뽀로로는 매년 펭귄들과 함께 긴 여행을 떠났습니다.,embarked on,Pororo embarked on long journeys with the penguins every year.
이끌다,Verb,"뽀로로는 펭귄들의 행진을 이끌면서, 새로운 것을 배우고 경험했습니다.",led,"Pororo led the penguins' march, learning and experiencing new things."
경험,Noun,"뽀로로는 펭귄들의 행진을 이끌면서, 새로운 것을 배우고 경험했습니다.",experience,"Pororo led the penguins' march, learning and experiencing new things."
희망,Noun,뽀로로는 펭귄들에게 용기와 희망을 주었습니다.,hope,Pororo gave the penguins courage and hope.
주다,Verb,뽀로로는 펭귄들에게 용기와 희망을 주었습니다.,gave,Pororo gave the penguins courage and hope.
존경,Noun,펭귄들은 뽀로로를 존경하고 따랐습니다.,respected,The penguins respected and followed Pororo.
살아가다,Verb,"펭귄들은 함께 살아가는 법을 배우고, 서로를 사랑하며 행복하게 살았습니다.",live,"The penguins learned how to live together, loved each other, and lived happily."
법,Noun,"펭귄들은 함께 살아가는 법을 배우고, 서로를 사랑하며 행복하게 살았습니다.",way,"The penguins learned how to live together, loved each other, and lived happily."
사랑,Noun,"펭귄들은 함께 살아가는 법을 배우고, 서로를 사랑하며 행복하게 살았습니다.",loved,"The penguins learned how to live together, loved each other, and lived happily."
전하다,Verb,뽀로로의 이야기는 펭귄 마을에 전해져 내려왔습니다.,was passed down,Pororo's story was passed down in the penguin village.
내려오다,Verb,뽀로로의 이야기는 펭귄 마을에 전해져 내려왔습니다.,down,Pororo's story was passed down in the penguin village.
영원히,Adverb,뽀로로는 펭귄들에게 영원히 기억되는 영웅이 되었습니다.,forever,Pororo became a hero remembered forever by the penguins.
기억,Noun,뽀로로는 펭귄들에게 영원히 기억되는 영웅이 되었습니다.,remembered,Pororo became a hero remembered forever by the penguins.
영웅,Noun,뽀로로는 펭귄들에게 영원히 기억되는 영웅이 되었습니다.,hero,Pororo became a hero remembered forever by the penguins.
중요,Noun,이 이야기는 우리에게 중요한 것을 알려줍니다.,important things,This story tells us important things.
알리다,Verb,이 이야기는 우리에게 중요한 것을 알려줍니다.,tells,This story tells us important things.
그리고,Adverb,그리고 서로 사랑하고 돕는 것이 얼마나 소중한지를요.,and,And how precious it is to love and help each other.
얼마나,Adverb,그리고 서로 사랑하고 돕는 것이 얼마나 소중한지를요.,how,And how precious it is to love and help each other.
아끼다,Verb,펭귄들처럼 우리도 서로를 아끼고 사랑하면서 행복하게 살아가도록 노력해야 합니다.,cherish,"Like the penguins, we should also strive to cherish and love each other and live happily."
노력,Noun,펭귄들처럼 우리도 서로를 아끼고 사랑하면서 행복하게 살아가도록 노력해야 합니다.,strive,"Like the penguins, we should also strive to cherish and love each other and live happily."
단순,Noun,펭귄들의 행진은 단순한 이동이 아닙니다.,simple,The penguins' march is not a simple movement.
가족,Noun,"그것은 가족, 사랑, 그리고 공동체의 중요성을 보여주는 아름다운 여정입니다.",family,"It is a beautiful journey that shows the importance of family, love, and community."
공동체,Noun,"그것은 가족, 사랑, 그리고 공동체의 중요성을 보여주는 아름다운 여정입니다.",community,"It is a beautiful journey that shows the importance of family, love, and community."
여정,Noun,"그것은 가족, 사랑, 그리고 공동체의 중요성을 보여주는 아름다운 여정입니다.",journey,"It is a beautiful journey that shows the importance of family, love, and community."
