Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
꿈속,"in a dream, dreamworld",Pure Korean,Noun,요정들은 밤에 사람들의 꿈속에 나타나 숲의 아름다움을 보여주기로 했어요.,The fairies decided to appear in people's dreams at night and show them the beauty of the forest.
나타나다,to appear,Pure Korean,Verb,요정들은 밤에 사람들의 꿈속에 나타나 숲의 아름다움을 보여주기로 했어요.,The fairies decided to appear in people's dreams at night and show them the beauty of the forest.
맑다,clear,Pure Korean,Adjective,"사람들은 꿈속에서 푸른 나무와 예쁜 꽃, 맑은 시냇물을 보았어요.","In their dreams, people saw green trees, beautiful flowers, and clear streams."
시냇물,stream (water),Pure Korean,Noun,"사람들은 꿈속에서 푸른 나무와 예쁜 꽃, 맑은 시냇물을 보았어요.","In their dreams, people saw green trees, beautiful flowers, and clear streams."
꿈,dream,Pure Korean,Noun,꿈에서 깨어난 사람들은 숲을 보호해야겠다는 생각을 하게 되었어요.,People who woke up from their dreams began to think that they should protect the forest.
깨어나다,to wake up,Pure Korean,Verb,꿈에서 깨어난 사람들은 숲을 보호해야겠다는 생각을 하게 되었어요.,People who woke up from their dreams began to think that they should protect the forest.
소녀,girl,"少女 (少 (소): young, few + 女 (녀): woman, girl)",Noun,"어느 날, 한 소녀가 숲에 놀러 왔어요.","One day, a girl came to play in the forest."
놀다,to play,Pure Korean,Verb,"어느 날, 한 소녀가 숲에 놀러 왔어요.","One day, a girl came to play in the forest."
오다,to come,Pure Korean,Verb,"어느 날, 한 소녀가 숲에 놀러 왔어요.","One day, a girl came to play in the forest."
떨어지다,to fall,Pure Korean,Verb,소녀는 숲에서 떨어진 아기 새를 발견했어요.,The girl found a baby bird that had fallen from the forest.
아기,baby,Pure Korean,Noun,소녀는 숲에서 떨어진 아기 새를 발견했어요.,The girl found a baby bird that had fallen from the forest.
발견,discovery,"發見 (發 (발): send out, discover + 見 (견): see, perceive)",Noun,소녀는 숲에서 떨어진 아기 새를 발견했어요.,The girl found a baby bird that had fallen from the forest.
집,home,Pure Korean,Noun,소녀는 아기 새를 집으로 데려가 정성껏 돌봐주었어요.,The girl took the baby bird home and cared for it diligently.
데려가다,to take (someone/something),Pure Korean,Verb,소녀는 아기 새를 집으로 데려가 정성껏 돌봐주었어요.,The girl took the baby bird home and cared for it diligently.
정성껏,"with utmost care, diligently",Pure Korean,Adverb,소녀는 아기 새를 집으로 데려가 정성껏 돌봐주었어요.,The girl took the baby bird home and cared for it diligently.
돌보다,"to care for, to look after",Pure Korean,Verb,소녀는 아기 새를 집으로 데려가 정성껏 돌봐주었어요.,The girl took the baby bird home and cared for it diligently.
착하다,"kind, good-hearted",Pure Korean,Adjective,요정들은 소녀의 착한 마음을 보고 감동했어요.,The fairies were touched by the girl's kind heart.
감동,"emotion, impression (as in 'being moved')","感動 (感 (감): feel, sense + 動 (동): move, act)",Noun,요정들은 소녀의 착한 마음을 보고 감동했어요.,The fairies were touched by the girl's kind heart.
선물,"gift, present","膳物 (膳 (선): delicacies, food offerings + 物 (물): thing, object)",Noun,요정 여왕님은 소녀에게 특별한 선물을 주기로 했어요.,The Fairy Queen decided to give the girl a special gift.
씨앗,seed,Pure Korean,Noun,요정 여왕님은 소녀에게 작은 씨앗 하나를 건네주었어요.,The Fairy Queen handed the girl a small seed.
건네다,"to hand over, to pass",Pure Korean,Verb,요정 여왕님은 소녀에게 작은 씨앗 하나를 건네주었어요.,The Fairy Queen handed the girl a small seed.
심다,to plant,Pure Korean,Verb,"이 씨앗을 심으면, 숲을 치유하는 꽃이 필 거예요.”","If you plant this seed, a flower that heals the forest will bloom."
치유,healing,"治癒 (治 (치): govern, cure, heal + 癒 (유): heal, recover)",Noun,"이 씨앗을 심으면, 숲을 치유하는 꽃이 필 거예요.”","If you plant this seed, a flower that heals the forest will bloom."
피다,"to bloom, to blossom",Pure Korean,Verb,"이 씨앗을 심으면, 숲을 치유하는 꽃이 필 거예요.”","If you plant this seed, a flower that heals the forest will bloom."
간직,"keeping, treasuring",Pure Korean,Noun,소녀는 꿈에서 깨어나 씨앗을 소중하게 간직했어요.,The girl woke up from her dream and carefully treasured the seed.
다음,next,Pure Korean,Noun,"다음 날, 소녀는 숲으로 가서 요정 여왕님이 준 씨앗을 심었어요.","The next day, the girl went to the forest and planted the seed given by the Fairy Queen."
매일,"every day, daily","每日 (每 (매): every, each + 日 (일): day)",Adverb,소녀는 매일 씨앗에 물을 주고 정성껏 돌봤어요.,"Every day, the girl watered the seed and cared for it diligently."
싹,sprout,Pure Korean,Noun,"시간이 지나자, 씨앗에서 싹이 났어요.","As time passed, a sprout emerged from the seed."
얼마,some time,Pure Korean,Noun,"그리고 얼마 후, 아름다운 꽃이 피어났어요.","And after some time, beautiful flowers bloomed."
후,after,"後 (후: after, behind)",Noun,"그리고 얼마 후, 아름다운 꽃이 피어났어요.","And after some time, beautiful flowers bloomed."
전체,entire,"全 (전: whole, entire) + 體 (체: body, whole)",Noun,꽃은 숲 전체에 아름다운 향기를 퍼뜨렸어요.,The flowers spread a beautiful fragrance throughout the entire forest.
향기,fragrance,"香 (향: fragrance, incense) + 氣 (기: air, spirit, atmosphere)",Noun,꽃은 숲 전체에 아름다운 향기를 퍼뜨렸어요.,The flowers spread a beautiful fragrance throughout the entire forest.
퍼뜨리다,to spread,Pure Korean,Verb,꽃은 숲 전체에 아름다운 향기를 퍼뜨렸어요.,The flowers spread a beautiful fragrance throughout the entire forest.
기뻐하다,to rejoice,Pure Korean,Verb,숲의 정령은 기뻐하며 다시 웃었어요.,The forest spirit rejoiced and smiled again.
더욱,even more,Pure Korean,Adverb,그 후로 사람들은 숲을 더욱 소중하게 생각하게 되었어요.,"Since then, people began to value the forest even more."
변화,change,"變 (변: change, alter) + 化 (화: change, transform)",Noun,요정들은 사람들의 변화된 모습에 기뻐했어요.,The fairies were happy with the changed appearance of the people.
모습,appearance,Pure Korean,Noun,요정들은 사람들의 변화된 모습에 기뻐했어요.,The fairies were happy with the changed appearance of the people.
위하다,to be for,Pure Korean,Verb,요정들은 숲을 더욱 아름답게 만들기 위해 노력했어요.,The fairies made an effort to make the forest even more beautiful.
노력,effort,"努 (노: strive, exert) + 力 (력: strength, power)",Noun,요정들은 숲을 더욱 아름답게 만들기 위해 노력했어요.,The fairies made an effort to make the forest even more beautiful.
항상,always,"恒 (항: constant, regular) + 常 (상: always, usual)",Adverb,"숲에는 항상 새들의 노래 소리가 울려 퍼지고, 꽃들의 향기가 가득했어요.",The forest was always filled with the sound of birds singing and the fragrance of flowers.
소리,sound,Pure Korean,Noun,"숲에는 항상 새들의 노래 소리가 울려 퍼지고, 꽃들의 향기가 가득했어요.",The forest was always filled with the sound of birds singing and the fragrance of flowers.
울리다,to echo,Pure Korean,Verb,"숲에는 항상 새들의 노래 소리가 울려 퍼지고, 꽃들의 향기가 가득했어요.",The forest was always filled with the sound of birds singing and the fragrance of flowers.
퍼지다,to spread,Pure Korean,Verb,"숲에는 항상 새들의 노래 소리가 울려 퍼지고, 꽃들의 향기가 가득했어요.",The forest was always filled with the sound of birds singing and the fragrance of flowers.
가득,fully,Pure Korean,Adverb,"숲에는 항상 새들의 노래 소리가 울려 퍼지고, 꽃들의 향기가 가득했어요.",The forest was always filled with the sound of birds singing and the fragrance of flowers.
평화,peace,"平 (평: flat, peaceful) + 和 (화: harmony, peace)",Noun,숲은 평화롭고 아름다운 곳이었어요.,The forest was a peaceful and beautiful place.
감사,gratitude,"感 (감: feel, sense) + 謝 (사: thank, apologize)",Noun,요정들은 숲을 보호하는 사람들에게 항상 감사했어요.,The fairies were always grateful to the people who protected the forest.
소중하다,to be precious,"小 (소: small, little) + 重 (중: heavy, important)",Adjective,요정들은 사람들에게 숲의 소중함을 알려주기 위해 계속 노력했어요.,The fairies continued to strive to inform people of the forest's value.
알리다,to inform,Pure Korean,Verb,요정들은 사람들에게 숲의 소중함을 알려주기 위해 계속 노력했어요.,The fairies continued to strive to inform people of the forest's value.
계속,continuously,"繼 (계: continue, succeed) + 續 (속: continue, connect)",Adverb,요정들은 사람들에게 숲의 소중함을 알려주기 위해 계속 노력했어요.,The fairies continued to strive to inform people of the forest's value.
영원히,forever,"永 (영: long, eternal) + 遠 (원: far, distant)",Adverb,그리고 숲은 영원히 아름다운 모습으로 남았답니다.,And the forest remained beautiful forever.
남다,to remain,Pure Korean,Verb,그리고 숲은 영원히 아름다운 모습으로 남았답니다.,And the forest remained beautiful forever.
가꾸다,to cultivate,Pure Korean,Verb,사람들은 요정들과 함께 숲을 가꾸며 오랫동안 행복하게 살았습니다.,"People lived happily for a long time, cultivating the forest with the fairies."
오랫동안,for a long time,Pure Korean,Noun,사람들은 요정들과 함께 숲을 가꾸며 오랫동안 행복하게 살았습니다.,"People lived happily for a long time, cultivating the forest with the fairies."
언제나,always,Pure Korean,Adverb,숲은 언제나 평화롭고 아름다웠습니다.,The forest was always peaceful and beautiful.
사랑,love,Pure Korean,Noun,요정들은 숲을 사랑하는 사람들과 함께 영원히 행복하게 살았습니다.,The fairies lived happily forever with the people who loved the forest.
